date,SPY,QQQ,DIA,IWM,EFA,EEM,TLT,GLD,XLF,XLE
2022-07-20,-9.497045869146799,-8.870159794586057,-10.054924116449104,-9.39480611940225,-9.679982419778932,-10.383455787339486,-9.66804029563475,-10.78284162347043,-10.02030434987466,-8.22533781549929
2022-07-21,-9.081783258481497,-8.638620553767561,-9.227150583878641,-8.745994289940548,-9.896978121784208,-10.470694379634086,-9.855223833162478,-10.657230178253911,-9.120288143388704,-7.768849673800519
2022-07-22,-8.876277677351569,-8.105555832050827,-9.337382432526333,-8.178182749340964,-9.0639951966169,-9.45262480761433,-9.75174717845431,-9.709233145874387,-8.61427675655622,-8.017220637332292
2022-07-25,-10.288991007747628,-9.332694769642107,-10.705949999575546,-9.269861440512992,-10.738829508285013,-11.204896883474694,-10.455909336163916,-11.258379743479397,-9.564704655265567,-7.752242691891748
2022-07-26,-10.31515103671827,-9.420395265739513,-10.770803928399763,-10.10405475344478,-11.403560154296608,-9.876707899505893,-9.582818233181003,-11.587207647717909,-9.034114539417411,-7.969347560896715
2022-07-27,-8.89870766378754,-8.120233235304358,-9.162718785363293,-8.667331665895889,-9.339297530970269,-9.199919119939524,-9.508254312279014,-9.208149158328125,-8.882710105850725,-7.857011210774793
2022-07-28,-8.570524043575213,-8.219591927355841,-8.725412939185366,-8.277048350009338,-9.350530325288737,-9.029721708453485,-9.323227095977796,-11.25501333680961,-8.315320095811458,-7.798661860225449
2022-07-29,-9.540481576006336,-8.82227371792366,-9.850737929974589,-9.339120100898251,-9.682914538364942,-9.628084458558513,-8.893439224048233,-10.22278913091904,-9.532802734740027,-8.503900970530283
2022-08-01,-9.591608002392586,-8.580930643309275,-10.007270094378331,-8.418247703236752,-10.131012040711719,-9.100297045953855,-9.778328034054997,-10.905871893082926,-9.47683792848554,-8.577473429598248
2022-08-02,-9.105489104193667,-8.428877932137745,-10.136727719281625,-8.647289255631456,-10.219455742588162,-8.893169695611109,-8.4339513516806,-9.536309556181184,-9.380073265100787,-8.642186849215681
2022-08-03,-9.798664255261645,-9.06501907193048,-9.847445447213566,-9.632630217096576,-10.046001832093589,-9.700237379294006,-8.39028591578184,-10.211857250991049,-9.212867538374592,-7.657506080272808
2022-08-04,-10.79901698312635,-9.605518960024432,-11.115195232987878,-10.31408679570081,-11.063581042364135,-10.620776832103024,-10.318163650923273,-10.331234960008864,-10.754103560379882,-8.001516595638929
2022-08-05,-10.486364698116805,-9.037573059506691,-10.852112065687406,-9.343911497051726,-10.608172725471144,-10.649430220518596,-10.01700544565031,-11.047230342818224,-8.985645169156488,-7.710787939600405
2022-08-08,-9.361700768162141,-8.342227618835743,-9.972000084277164,-9.256760984965043,-9.957249893328525,-10.330798811713693,-10.831088734339822,-11.746314785069522,-9.892628394602536,-8.98903945381106
2022-08-09,-10.971904343660036,-9.8295432540595,-11.195474444990968,-9.333412675976227,-10.614031134590798,-10.586157296968155,-10.470735286120387,-11.038364218732642,-10.533795639130007,-8.78663125041108
2022-08-10,-10.408096726400025,-9.482267398189727,-11.143726056447676,-9.623025625292728,-10.300491414384341,-10.052238651492948,-8.735585540371114,-10.488831786985003,-9.976979305983198,-7.693061962552332
2022-08-11,-9.52637242345272,-8.712425255373445,-10.053317131946134,-8.84376054551331,-10.29191266561821,-8.997981944235017,-8.788288404750569,-10.66538866185231,-9.959324565691674,-8.230860518909374
2022-08-12,-9.882157806717997,-9.481180630489028,-10.4062268183319,-9.214510621091273,-10.54256299541686,-10.724754008839533,-10.048434900267834,-11.09138947396965,-9.362376386840012,-9.194064710868412
2022-08-15,-10.596563953233932,-10.340534100585081,-10.523650911609376,-9.755045452804184,-11.414115309302238,-10.942759218003008,-10.128184260238653,-11.433549069360083,-9.565063947987081,-7.846474300880592
2022-08-16,-9.79625825416693,-8.98291913302384,-9.853055987540289,-9.142334457571444,-11.064085730728861,-11.081919552435695,-9.15062253763859,-12.175473611972226,-9.454199737532319,-8.48758544940282
2022-08-17,-9.621381747523952,-9.048072118044475,-9.950910379643664,-9.220021815035564,-9.814167602231345,-10.392028844064424,-10.803211663684571,-10.838752667439286,-9.899995265815596,-8.223742620398703
2022-08-18,-10.626129186410251,-9.706964697092753,-10.962251717468327,-9.72506382325328,-11.018660175648062,-10.55551468407079,-10.082337945809876,-10.4815946191424,-10.358070722143244,-9.506357280116983
2022-08-19,-10.476508195471935,-9.604470915400114,-10.846276724437832,-9.527509418725971,-10.705153339202573,-10.507285344166965,-11.268879389058004,-11.397857366603093,-9.463052277156871,-9.118896064932603
2022-08-22,-10.201545156138808,-9.571601263360861,-10.35289554974658,-9.796016405510624,-10.548321911018762,-11.446291851300236,-10.558220826446568,-11.414533178553505,-10.366775245843126,-7.780349365077982
2022-08-23,-10.171236208325016,-9.598956977201336,-10.377421145371008,-9.340247748437472,-9.656935754566744,-9.988269457149746,-9.033190106185982,-10.287902658557885,-9.954929548891618,-8.35909191990013
2022-08-24,-10.260030190952566,-9.592604357514453,-10.399189265663171,-9.147401500009378,-10.174535236956219,-9.396574255010625,-10.153523514735289,-10.851146501592028,-9.811961208554056,-9.15876943028328
2022-08-25,-9.99391842162015,-9.683104407359433,-9.99401317734191,-10.147847394878442,-10.341122013965526,-10.14610983350924,-9.106255767903898,-11.546418397411372,-9.54633895305266,-9.153084698062514
2022-08-26,-8.59423675225931,-7.908310021945158,-8.82888670179881,-8.516933410855918,-8.920040752057277,-9.17176417653109,-9.202672362704511,-9.841501788185765,-8.661398864800248,-8.192957735131229
2022-08-29,-9.630798698537054,-9.395227972263609,-9.707816192846074,-9.365740791227026,-10.594053251933087,-10.383150970541674,-10.471349318072203,-11.037438530273453,-9.358570139165312,-7.8638184876372765
2022-08-30,-8.95891027512027,-8.227646282334254,-9.294981633832442,-8.644547372339936,-9.542804108691264,-9.249149227482768,-9.67505541943889,-11.15308392770255,-8.95056408033031,-8.437220910508186
2022-08-31,-9.624221452520446,-9.35387501557606,-9.525071988579475,-9.53956913565754,-10.133637306608069,-9.955993904009784,-9.180138306409688,-10.311052548774006,-9.257288837173945,-7.499922623329844
2022-09-01,-9.06314044061121,-8.358697528195963,-9.503411311499745,-8.899557162803138,-9.622095008788813,-9.797266063901866,-9.579935548017204,-10.743695882990252,-8.51644448776388,-7.956606112845246
